id,lesson_id,subject_id,type,prompt,options,answer,explanation,source,difficulty,hints,grade
q-k8-pyth-2,les-k8-pyth-1,matematika,true_false,"Kelompok bilangan 5, 12, dan 13 merupakan tripel Pythagoras yang membentuk segitiga siku-siku.",[],"[""true""]",Benar: 5² + 12² = 25 + 144 = 169. Nilai 13² juga sama dengan 169.,"Adaptasi BSE Matematika SMP Kelas VIII, Kemdikbud",1,"[""Periksa apakah kuadrat sisi terpanjang sama dengan jumlah kuadrat dua sisi lainnya.""]",8
q-k8-newton-1,les-k8-newton-1,ipa,mcq,"Ketika kendaraan yang melaju tiba-tiba direm mendadak, tubuh kita terdorong ke depan. Hal ini merupakan pembuktian dari ...","[""Hukum I Newton (Inersia)"",""Hukum II Newton"",""Hukum III Newton"",""Hukum Pascal""]","[""0""]",Hukum I Newton (hukum kelembaman/inersia) menyatakan setiap benda cenderung mempertahankan keadaan diam atau bergeraknya jika tidak ada gaya luar yang bekerja.,"BSE IPA Terpadu SMP Kelas VIII, Kemdikbud",1,"[""Sifat benda mempertahankan keadaannya disebut sifat kelembaman.""]",8
q-k8-cerna-1,les-k8-cerna-1,ipa,mcq,Enzim ptialin (amilase) yang dihasilkan oleh kelenjar ludah di mulut berfungsi untuk mencerna ...,"[""Amilum menjadi maltosa (gula sederhana)"",""Protein menjadi asam amino"",""Lemak menjadi asam lemak"",""Mineral menjadi vitamin""]","[""0""]",Ptialin bekerja di rongga mulut untuk mengubah karbohidrat kompleks (amilum) menjadi gula sederhana seperti maltosa.,"BSE IPA Terpadu SMP Kelas VIII, Kemdikbud",1,"[""Pencernaan kimiawi pertama di mulut bertujuan menguraikan karbohidrat.""]",8
q-k8-berita-1,les-k8-berita-1,bahasa-indonesia,mcq,Unsur berita 'Mengapa' (Why) dalam struktur teks berita bertujuan menjelaskan ...,"[""Alasan atau penyebab terjadinya suatu peristiwa"",""Waktu terjadinya peristiwa"",""Tokoh atau pihak yang terlibat"",""Lokasi peristiwa berlangsung""]","[""0""]","Unsur 'Mengapa' memaparkan latar belakang, motif, atau penyebab suatu peristiwa dapat terjadi.","BSE Bahasa Indonesia SMP Kelas VIII, Kemdikbud",1,"[""Pikirkan kata tanya yang mencari tahu faktor penyebab suatu kejadian.""]",8
q-k8-recount-1,les-k8-recount-1,bahasa-inggris,mcq,"""Last holiday, Jasmine and her family ... to the mountains for camping."" Bentuk kata kerja masa lampau yang tepat adalah ...","[""went"",""go"",""gone"",""goes""]","[""0""]",Recount text menceritakan peristiwa masa lampau menggunakan Simple Past Tense. Bentuk lampau dari kata 'go' adalah 'went'.,"BSE English in Focus SMP Class VIII, Kemdikbud",1,"[""Perhatikan penanda waktu 'Last holiday' yang menunjukkan waktu lampau (past).""]",8
q-k8-pak-1,les-k8-pak-1,pendidikan-agama-katolik,mcq,"Dalam ajaran Gereja Katolik, tiga sakramen yang menjadi dasar inisiasi kehidupan kristiani adalah ...","[""Baptis, Krisma (Penguatan), dan Ekaristi"",""Baptis, Pernikahan, dan Imamat"",""Ekaristi, Tobat, dan Minyak Suci"",""Krisma, Tobat, dan Tahbisan""]","[""0""]","Tiga Sakramen Inisiasi Katolik adalah Sakramen Baptis (kelahiran baru), Penguatan/Krisma (kedewasaan iman), dan Ekaristi (makanan rohani).","PABP Katolik SMP Kelas VIII, Komisi Kateketik KWI",1,"[""Sakramen inisiasi adalah sakramen dasar yang diterima umat beriman untuk masuk penuh ke dalam Gereja.""]",8
q-k8-ips-1,les-k8-asean-1,ips,mcq,Satu-satunya negara anggota ASEAN yang wilayahnya sama sekali tidak memiliki laut (landlocked country) adalah ...,"[""Laos"",""Kamboja"",""Vietnam"",""Myanmar""]","[""0""]",Laos adalah satu-satunya negara di Asia Tenggara yang seluruh wilayahnya terkurung oleh daratan negara tetangga.,"BSE IPS SMP Kelas VIII, Kemdikbud",1,"[""Negara ini berbatasan dengan Thailand, Vietnam, Kamboja, Myanmar, dan Tiongkok.""]",8
q-k8-ppkn-1,les-k8-ppkn-1,ppkn,mcq,"Pancasila berfungsi sebagai pandangan hidup bangsa Indonesia, yang bermakna bahwa Pancasila menjadi ...","[""Pedoman dan petunjuk perilaku moral dalam kehidupan bermasyarakat"",""Hukum yang hanya berlaku bagi warga negara tertentu"",""Aturan yang kaku dan tidak boleh ditafsirkan"",""Dokumen sejarah yang hanya disimpan sebagai arsip""]","[""0""]","Sebagai pandangan hidup (way of life), nilai-nilai Pancasila menjadi petunjuk arah dan pedoman etika dalam kehidupan bermasyarakat, berbangsa, dan bernegara.","BSE PPKn SMP Kelas VIII, Kemdikbud",1,"[""Pandangan hidup menjadi lentera bagi perilaku setiap warga negara sehari-hari.""]",8
q-k8-pjok-1,les-k8-pjok-1,pjok,mcq,Operan bola yang dilakukan dengan cara memantulkan bola ke lantai dalam permainan bola basket disebut ...,"[""Bounce pass"",""Chest pass"",""Overhead pass"",""Side pass""]","[""0""]",Bounce pass adalah teknik passing bola dengan memantulkannya ke lantai agar sulit diintersep oleh pemain bertahan lawan.,"BSE PJOK SMP Kelas VIII, Kemdikbud",1,"[""Kata 'bounce' dalam bahasa Inggris berarti memantul.""]",8
q-k8-prakarya-1,les-k8-prakarya-1,prakarya-bk,mcq,"Contoh bahan lunak alam yang banyak digunakan pengrajin untuk pembuatan guci, tembikar, dan keramik adalah ...","[""Tanah liat"",""Lilin lebah buatan"",""Sabun batangan"",""Parafin industri""]","[""0""]",Tanah liat merupakan bahan lunak alam yang plastis dan mudah dibentuk saat basah serta mengeras setelah dibakar.,"BSE Prakarya SMP Kelas VIII, Kemdikbud",1,"[""Bahan ini diambil langsung dari alam tanah lempung subur.""]",8
